3, Female, Maharashtra, 6635177378, 161.86 cm, 68.09 kg
10, Male, Nagaland, 9646123553, 146.01 cm, 79.88 kg
28, Male, Bihar, 8466132652, 149.55 cm, 63.1 kg
68, Female, Karnataka, 8847641234, 162.88 cm, 74.18 kg
57, Male, Punjab, 9565484124, 156.6 cm, 75.27 kg
75, Female, Andhra Pradesh, 7536376445, 158.7 cm, 63.17 kg
15, Male, Madhya Pradesh, 6475574475, 163.34 cm, 70.53 kg
40, Male, Rajasthan, 8474427576, 148.05 cm, 82.92 kg
36, Male, Meghalaya, 9343615657, 136.79 cm, 72.88 kg
11, Female, Tripura, 8186762225, 149.99 cm, 59.95 kg
44, Female, Bihar, 9254512275, 181.31 cm, 61.26 kg
44, Male, Andhra Pradesh, 8678814661, 168.14 cm, 76.85 kg
63, Female, Jharkhand, 7538586117, 161.98 cm, 71.14 kg
3, Male, Bihar, 7681421313, 164.74 cm, 71.05 kg
69, Male, Telangana, 8372627261, 150.23 cm, 69.05 kg
57, Female, Rajasthan, 8124867184, 162.75 cm, 66.9 kg
94, Male, Maharashtra, 6886864362, 166.43 cm, 74.36 kg
66, Male, Chhattisgarh, 9854678321, 166.15 cm, 72.77 kg
36, Male, Bihar, 9214811853, 164.14 cm, 69.54 kg
22, Male, Maharashtra, 9472867413, 157.37 cm, 73.9 kg
80, Male, Karnataka, 8887143742, 159.49 cm, 66.45 kg
28, Male, Nagaland, 9766337554, 171.26 cm, 65.35 kg
48, Male, Jharkhand, 8654213565, 167.57 cm, 70.58 kg
29, Female, Sikkim, 8271124668, 167.88 cm, 82.53 kg
63, Female, Nagaland, 6817735218, 157.66 cm, 68.79 kg
45, Male, Meghalaya, 9668457335, 156.09 cm, 75.58 kg
81, Male, Punjab, 8368278512, 154.2 cm, 67.12 kg
67, Male, Karnataka, 6757735745, 147.05 cm, 69.96 kg
24, Female, Gujarat, 9427686127, 140.09 cm, 82.45 kg
80, Male, Kerala, 8867325684, 149.21 cm, 72.15 kg
74, Male, Haryana, 7877858782, 161.83 cm, 70.72 kg
37, Male, Chhattisgarh, 8114873124, 157.69 cm, 64.06 kg
24, Male, Gujarat, 8578233388, 159.89 cm, 76.22 kg
78, Female, Himachal Pradesh, 9556851124, 153.43 cm, 70.54 kg
47, Male, West Bengal, 8262672428, 163.23 cm, 80.22 kg
88, Male, Kerala, 7837881654, 156.64 cm, 61.66 kg
51, Female, Manipur, 9236166337, 161.01 cm, 72.65 kg
63, Female, Arunachal Pradesh, 7352374681, 163.22 cm, 68.28 kg
56, Male, Sikkim, 7822417223, 160.65 cm, 73.92 kg
72, Female, Madhya Pradesh, 7315235534, 152.29 cm, 62.23 kg
66, Male, Andhra Pradesh, 7827731715, 151.3 cm, 70.72 kg
95, Female, Odisha, 9141412163, 142.98 cm, 63.88 kg
3, Female, Meghalaya, 7856142334, 143.09 cm, 72.26 kg
19, Male, Andhra Pradesh, 9572653558, 167.72 cm, 66.13 kg
37, Male, Assam, 6631373466, 148.58 cm, 73.58 kg
67, Female, Himachal Pradesh, 9375423238, 153.9 cm, 65.3 kg
38, Female, Andhra Pradesh, 8658244614, 175.62 cm, 74.34 kg
48, Male, Nagaland, 9123458587, 156.1 cm, 70.51 kg
61, Female, Andhra Pradesh, 7314775133, 151.36 cm, 79.48 kg
97, Female, Haryana, 8845881354, 163.07 cm, 58.37 kg
77, Female, Jharkhand, 7326223525, 162.88 cm, 68.25 kg
35, Male, Tamil Nadu, 7887626558, 150.34 cm, 68.81 kg
6, Male, Uttar Pradesh, 7547182634, 141.73 cm, 76.25 kg
48, Male, Meghalaya, 9668824388, 166.14 cm, 82.56 kg
82, Female, Haryana, 9147447357, 176.5 cm, 72.61 kg
31, Male, Maharashtra, 6476221665, 174.19 cm, 81.65 kg
95, Female, Odisha, 6662354776, 167.6 cm, 74.33 kg
97, Male, Gujarat, 6464732226, 146.91 cm, 67.16 kg
18, Male, Punjab, 8576735152, 162.52 cm, 65.28 kg
6, Male, Uttar Pradesh, 7633374522, 158.28 cm, 68.21 kg
43, Male, Andhra Pradesh, 9771555368, 163.03 cm, 66.93 kg
77, Female, Uttarakhand, 8728663715, 153.37 cm, 67.07 kg
9, Male, Tripura, 8238831683, 150.83 cm, 60.72 kg
8, Male, Assam, 6353474781, 147.05 cm, 78.65 kg
83, Female, West Bengal, 7483836676, 159.42 cm, 74.46 kg
90, Male, Arunachal Pradesh, 6518364866, 163.7 cm, 81.35 kg
75, Female, Nagaland, 6211585324, 166.25 cm, 77.27 kg
65, Male, Kerala, 7653525548, 154.76 cm, 69.37 kg
5, Male, West Bengal, 6117312831, 163.96 cm, 67.11 kg
84, Male, Tripura, 9185683727, 153.44 cm, 68.13 kg
27, Male, Uttar Pradesh, 7783532133, 155.94 cm, 66.73 kg
53, Female, Jharkhand, 6783413443, 158.4 cm, 68.72 kg
17, Female, Tamil Nadu, 6242844427, 170.86 cm, 66.7 kg
25, Male, Telangana, 6122874223, 151.22 cm, 66.62 kg
89, Male, Gujarat, 9185873367, 161.06 cm, 71.31 kg
65, Male, Rajasthan, 6458113551, 167.93 cm, 64.26 kg
21, Female, Tamil Nadu, 6172485333, 166.77 cm, 68.21 kg
26, Male, Odisha, 7311485571, 167.66 cm, 70.62 kg
14, Male, Jharkhand, 9484834284, 151.43 cm, 70.65 kg
60, Female, Uttarakhand, 8755443562, 145.83 cm, 62.78 kg
38, Male, Chhattisgarh, 6358468442, 178.06 cm, 63.84 kg
43, Male, Kerala, 6427726532, 157.7 cm, 60.61 kg
40, Male, Uttar Pradesh, 7622756688, 162.38 cm, 70.84 kg
52, Female, Nagaland, 8527672357, 159.08 cm, 71.12 kg
53, Female, Haryana, 7414248235, 158.78 cm, 77.07 kg
37, Female, Uttar Pradesh, 6372572447, 181.9 cm, 61.2 kg
7, Female, Arunachal Pradesh, 9784487171, 141.45 cm, 74.21 kg
11, Male, Chhattisgarh, 8558184562, 147.99 cm, 76.72 kg
82, Male, Andhra Pradesh, 6641777845, 154.27 cm, 69.45 kg
32, Male, Tamil Nadu, 9882288882, 160.81 cm, 68.98 kg
87, Female, Tripura, 7215314242, 174.0 cm, 63.61 kg
49, Female, Bihar, 6643577843, 185.67 cm, 71.93 kg
83, Male, Odisha, 6171418381, 160.85 cm, 66.23 kg
70, Male, Punjab, 8366733667, 153.79 cm, 72.13 kg
21, Male, Himachal Pradesh, 6556441176, 164.79 cm, 68.41 kg
12, Female, Mizoram, 6875214628, 162.53 cm, 67.99 kg
2, Female, Mizoram, 6174383533, 151.68 cm, 71.21 kg
4, Female, Andhra Pradesh, 7775333354, 142.53 cm, 70.36 kg
79, Female, Himachal Pradesh, 9846672248, 162.25 cm, 75.46 kg
75, Female, West Bengal, 6263112464, 164.49 cm, 70.11 kg
70, Male, Assam, 7668784252, 159.17 cm, 69.69 kg
78, Male, Jharkhand, 7162312463, 157.61 cm, 74.37 kg
27, Male, Uttar Pradesh, 6473454163, 160.06 cm, 62.06 kg
35, Female, Arunachal Pradesh, 9726314738, 150.73 cm, 70.57 kg
35, Female, West Bengal, 8571748484, 151.85 cm, 75.77 kg
36, Female, Sikkim, 8246252257, 145.07 cm, 64.16 kg
21, Female, Odisha, 9811131163, 159.77 cm, 74.48 kg
21, Female, Maharashtra, 6442135386, 166.79 cm, 75.55 kg
26, Female, Haryana, 8716577387, 138.67 cm, 68.45 kg
50, Female, Mizoram, 9377841738, 156.65 cm, 68.47 kg
63, Female, Meghalaya, 8556178151, 161.92 cm, 72.08 kg
67, Female, Madhya Pradesh, 7355727656, 156.04 cm, 69.88 kg
13, Male, Sikkim, 8811168244, 169.36 cm, 63.72 kg
52, Female, Jharkhand, 7431622214, 156.96 cm, 70.05 kg
34, Female, Tamil Nadu, 9375446463, 162.12 cm, 71.17 kg
84, Female, Maharashtra, 7858472771, 157.99 cm, 73.16 kg
3, Female, Himachal Pradesh, 9762661181, 152.49 cm, 66.86 kg
69, Male, Telangana, 7258482163, 167.15 cm, 77.03 kg
15, Female, Tamil Nadu, 7763777457, 153.43 cm, 62.38 kg
5, Female, Uttar Pradesh, 9818457815, 158.01 cm, 74.04 kg
25, Female, Karnataka, 6283277814, 151.96 cm, 64.33 kg
30, Male, Karnataka, 9748835818, 144.64 cm, 60.96 kg
59, Male, Punjab, 8271427531, 177.23 cm, 68.43 kg
68, Male, Goa, 9313586478, 158.55 cm, 70.45 kg
24, Male, Karnataka, 8678617183, 160.33 cm, 80.36 kg
16, Female, Andhra Pradesh, 7315114173, 168.33 cm, 65.99 kg
11, Male, Goa, 7645266257, 175.51 cm, 78.51 kg
68, Female, Jharkhand, 8254171458, 159.74 cm, 80.47 kg
27, Male, Nagaland, 9345133413, 162.8 cm, 59.25 kg
63, Male, Assam, 8274727143, 147.18 cm, 65.5 kg
63, Female, Nagaland, 6484231752, 156.58 cm, 67.73 kg
80, Male, Himachal Pradesh, 6775545255, 148.1 cm, 69.15 kg
31, Female, Gujarat, 8374688273, 170.11 cm, 66.68 kg
13, Female, Rajasthan, 8331214671, 163.16 cm, 70.96 kg
33, Male, Uttarakhand, 7734266787, 157.24 cm, 67.22 kg
12, Female, Punjab, 8585145464, 155.61 cm, 66.85 kg
71, Male, Goa, 6663383431, 151.4 cm, 71.79 kg
74, Female, Telangana, 8856225126, 156.32 cm, 59.22 kg
23, Female, Telangana, 9633462753, 141.27 cm, 70.01 kg
74, Male, Karnataka, 9853262688, 160.8 cm, 69.09 kg
64, Female, Andhra Pradesh, 9188263828, 149.65 cm, 77.71 kg
63, Male, Sikkim, 6355236635, 156.24 cm, 70.58 kg
92, Male, Rajasthan, 7134342886, 170.5 cm, 69.48 kg
55, Male, Tripura, 8625116856, 154.27 cm, 65.76 kg
40, Male, Tamil Nadu, 8776532277, 172.02 cm, 66.14 kg
52, Female, Gujarat, 8377415115, 165.83 cm, 66.65 kg
20, Male, Arunachal Pradesh, 8758848665, 164.21 cm, 66.7 kg
56, Male, Uttar Pradesh, 6673584587, 152.45 cm, 73.76 kg
88, Male, Meghalaya, 7728512544, 172.33 cm, 72.08 kg
12, Female, Haryana, 8665257363, 159.82 cm, 67.68 kg
57, Female, West Bengal, 6318642448, 152.7 cm, 71.78 kg
25, Male, Arunachal Pradesh, 9587833177, 141.45 cm, 62.1 kg
95, Female, Goa, 8141164643, 155.46 cm, 70.22 kg
93, Male, Madhya Pradesh, 9484627122, 161.88 cm, 69.88 kg
59, Female, Haryana, 8658886372, 175.71 cm, 73.5 kg
82, Male, Madhya Pradesh, 6583265644, 156.09 cm, 66.0 kg
42, Female, Rajasthan, 8572484246, 162.48 cm, 67.71 kg
99, Female, Uttarakhand, 6756616254, 146.72 cm, 73.69 kg
32, Male, Maharashtra, 8531228854, 157.17 cm, 82.28 kg
30, Female, Goa, 8463452342, 160.65 cm, 67.23 kg
83, Male, Uttarakhand, 6327125455, 178.4 cm, 66.92 kg
56, Female, Kerala, 9788787622, 173.32 cm, 66.07 kg
69, Male, Manipur, 9356652756, 179.2 cm, 61.16 kg
36, Male, Arunachal Pradesh, 6157721771, 174.59 cm, 71.84 kg
24, Male, West Bengal, 8748761611, 155.18 cm, 74.56 kg
18, Male, Rajasthan, 6662686824, 164.38 cm, 74.98 kg
17, Male, Nagaland, 9274432458, 155.73 cm, 71.83 kg
2, Male, Gujarat, 8557348624, 149.1 cm, 68.7 kg
42, Female, Gujarat, 8486681461, 152.39 cm, 67.7 kg
25, Female, Mizoram, 6713352444, 169.34 cm, 73.0 kg
27, Male, Madhya Pradesh, 7567486854, 158.14 cm, 68.43 kg
38, Male, Rajasthan, 8542542448, 155.65 cm, 71.9 kg
20, Female, Meghalaya, 6146368413, 143.83 cm, 69.98 kg
36, Female, Uttarakhand, 9662714763, 145.35 cm, 75.55 kg
40, Female, Sikkim, 9851745285, 138.64 cm, 67.49 kg
37, Female, Arunachal Pradesh, 8837186578, 140.47 cm, 73.42 kg
99, Male, Mizoram, 7868445145, 160.18 cm, 67.23 kg
25, Female, Nagaland, 7534434166, 146.86 cm, 67.65 kg
69, Female, Maharashtra, 8181185714, 152.0 cm, 67.05 kg
58, Male, Uttar Pradesh, 7827467557, 154.63 cm, 61.23 kg
17, Male, Uttar Pradesh, 7667847266, 161.56 cm, 77.81 kg
40, Male, Madhya Pradesh, 6166548452, 155.16 cm, 71.5 kg
24, Male, Nagaland, 9133863633, 168.46 cm, 74.83 kg
48, Male, Gujarat, 6215736452, 165.05 cm, 60.55 kg
6, Male, Chhattisgarh, 9627651162, 152.76 cm, 67.7 kg
37, Female, Telangana, 9331416342, 151.28 cm, 71.82 kg
65, Female, Bihar, 8833277864, 161.57 cm, 71.57 kg
62, Male, Nagaland, 8767831151, 177.32 cm, 65.62 kg
44, Female, Assam, 8724267638, 149.51 cm, 70.82 kg
89, Female, Chhattisgarh, 9244357361, 148.65 cm, 65.48 kg
51, Female, Andhra Pradesh, 7565138125, 181.45 cm, 69.0 kg
82, Male, Bihar, 9318161525, 179.65 cm, 71.83 kg
3, Female, Gujarat, 7586613432, 160.51 cm, 77.08 kg
92, Male, Kerala, 8242718681, 149.88 cm, 61.72 kg
47, Female, Andhra Pradesh, 6384771465, 181.99 cm, 68.47 kg
93, Female, Manipur, 9838234828, 154.82 cm, 66.66 kg
10, Female, Manipur, 8172812748, 143.93 cm, 70.99 kg
35, Female, Manipur, 6523622846, 171.03 cm, 72.55 kg
4, Female, Punjab, 8172448166, 162.33 cm, 65.76 kg
64, Female, Bihar, 8473256411, 165.22 cm, 69.9 kg
14, Female, Maharashtra, 8748677751, 153.77 cm, 61.86 kg
11, Female, Tamil Nadu, 7163563661, 158.3 cm, 68.97 kg
12, Male, Jharkhand, 6557145828, 155.81 cm, 76.17 kg
35, Male, Bihar, 8647518568, 161.79 cm, 72.95 kg
18, Female, Rajasthan, 8321558472, 158.12 cm, 74.61 kg
96, Female, Punjab, 6735427311, 160.66 cm, 72.1 kg
51, Female, Andhra Pradesh, 8853163423, 172.08 cm, 73.34 kg
47, Female, Arunachal Pradesh, 8685267157, 166.88 cm, 70.9 kg
99, Male, Haryana, 6858851574, 173.97 cm, 73.42 kg
47, Female, Uttarakhand, 8625834324, 150.68 cm, 69.91 kg
89, Female, Andhra Pradesh, 7554763484, 166.97 cm, 66.6 kg
14, Female, Andhra Pradesh, 9535163817, 132.81 cm, 67.68 kg
92, Male, Sikkim, 8378831328, 151.2 cm, 76.53 kg
64, Female, Tamil Nadu, 6215282735, 163.72 cm, 72.94 kg
20, Female, Assam, 9278878443, 171.83 cm, 68.1 kg
69, Male, Manipur, 7123231867, 155.92 cm, 64.27 kg
32, Female, Uttar Pradesh, 9556266388, 160.37 cm, 74.06 kg
86, Female, Assam, 9683466247, 149.06 cm, 69.9 kg
43, Female, Maharashtra, 6348258425, 160.21 cm, 70.99 kg
36, Female, Assam, 8613844884, 142.37 cm, 60.39 kg
8, Male, Kerala, 6383171215, 149.06 cm, 75.47 kg
60, Male, Uttarakhand, 9573812856, 142.92 cm, 67.0 kg
36, Female, Haryana, 7731381246, 157.08 cm, 61.77 kg
32, Female, Tripura, 9514117245, 151.1 cm, 66.53 kg
77, Male, Gujarat, 6111886212, 153.3 cm, 68.94 kg
62, Female, Meghalaya, 8336458286, 143.4 cm, 63.54 kg
35, Male, Uttarakhand, 8348581624, 148.6 cm, 64.02 kg
71, Female, Uttarakhand, 6737318132, 152.88 cm, 79.38 kg
1, Male, Andhra Pradesh, 6656344151, 178.32 cm, 69.16 kg
1, Female, Punjab, 8746165622, 169.83 cm, 62.32 kg
72, Female, Nagaland, 7325351433, 173.69 cm, 73.36 kg
52, Male, Nagaland, 7313564447, 164.34 cm, 67.69 kg
32, Female, Madhya Pradesh, 7461881652, 152.3 cm, 72.98 kg
98, Male, Nagaland, 8678823378, 170.65 cm, 74.98 kg
69, Female, Meghalaya, 7263786273, 151.98 cm, 72.94 kg
10, Male, Haryana, 6454172287, 153.98 cm, 75.15 kg
9, Female, Uttar Pradesh, 8485842268, 163.19 cm, 68.41 kg
93, Female, Uttarakhand, 9372413472, 160.56 cm, 66.7 kg
62, Female, Haryana, 7255482811, 179.74 cm, 79.2 kg
94, Female, Andhra Pradesh, 6625727173, 165.34 cm, 66.62 kg
44, Male, Sikkim, 7614417253, 151.78 cm, 75.6 kg
98, Female, Tripura, 9788645326, 151.64 cm, 63.2 kg
83, Male, Kerala, 9552836438, 160.28 cm, 65.83 kg
49, Female, Arunachal Pradesh, 7567138425, 183.71 cm, 65.58 kg
5, Female, Arunachal Pradesh, 7324117182, 153.51 cm, 65.35 kg
11, Male, Maharashtra, 6524547814, 165.37 cm, 61.84 kg
64, Male, Haryana, 6154635768, 160.33 cm, 56.86 kg
90, Male, Kerala, 8426175518, 163.97 cm, 70.19 kg
92, Female, Assam, 8855788773, 168.38 cm, 70.09 kg
67, Female, Madhya Pradesh, 7664228168, 168.04 cm, 52.72 kg
28, Male, Uttar Pradesh, 8615172618, 155.36 cm, 68.25 kg
18, Male, Madhya Pradesh, 6787535722, 166.21 cm, 65.25 kg
82, Male, Sikkim, 7731368542, 149.67 cm, 74.41 kg
23, Female, Haryana, 8763484816, 157.68 cm, 67.56 kg
3, Male, Chhattisgarh, 8473662834, 159.0 cm, 77.15 kg
37, Male, Arunachal Pradesh, 6533182372, 164.36 cm, 66.89 kg
49, Male, Uttarakhand, 7118681821, 155.49 cm, 65.0 kg
87, Male, Haryana, 7442863532, 153.08 cm, 70.11 kg
14, Male, Telangana, 6182882767, 144.15 cm, 64.74 kg
8, Female, Gujarat, 6818814768, 165.52 cm, 71.66 kg
67, Male, Himachal Pradesh, 8773483621, 151.39 cm, 73.98 kg
48, Male, Rajasthan, 9865281756, 166.4 cm, 71.28 kg
57, Male, Uttar Pradesh, 8441432485, 159.22 cm, 68.64 kg
32, Female, Gujarat, 8237485813, 171.99 cm, 74.14 kg
31, Male, Gujarat, 8384235335, 156.47 cm, 77.1 kg
31, Male, Tripura, 9864572227, 162.03 cm, 69.66 kg
33, Female, Mizoram, 9667184131, 153.77 cm, 72.84 kg
6, Female, Andhra Pradesh, 6535852681, 148.95 cm, 67.99 kg
74, Male, Uttar Pradesh, 8884468328, 145.09 cm, 72.41 kg
25, Male, West Bengal, 9682235158, 180.97 cm, 56.98 kg
29, Female, Tripura, 7125118586, 166.42 cm, 74.64 kg
80, Male, Odisha, 7824777128, 170.4 cm, 73.88 kg
33, Female, Andhra Pradesh, 9881517732, 153.02 cm, 78.67 kg
89, Male, Jharkhand, 7826563218, 152.42 cm, 68.91 kg
16, Male, Kerala, 9644177521, 155.87 cm, 68.77 kg
29, Male, Haryana, 9142736146, 164.24 cm, 61.98 kg
12, Male, Odisha, 8521284164, 152.77 cm, 71.23 kg
77, Male, Uttar Pradesh, 8115256536, 158.29 cm, 72.5 kg
51, Female, Chhattisgarh, 7182522624, 162.37 cm, 77.5 kg
55, Female, Uttar Pradesh, 7524764335, 153.07 cm, 73.38 kg
12, Male, Chhattisgarh, 7316832336, 175.61 cm, 78.15 kg
97, Male, Tamil Nadu, 7885236866, 164.43 cm, 75.18 kg
5, Female, Nagaland, 8332828552, 145.89 cm, 66.43 kg
75, Female, Chhattisgarh, 8148122512, 163.76 cm, 60.85 kg
76, Male, Assam, 6734378283, 163.68 cm, 65.1 kg
19, Male, Goa, 7588861855, 172.05 cm, 69.66 kg
98, Male, Arunachal Pradesh, 7786468615, 148.19 cm, 64.51 kg
81, Male, Madhya Pradesh, 8151824728, 156.24 cm, 66.58 kg
81, Male, Maharashtra, 6755725816, 180.72 cm, 71.65 kg
72, Male, Madhya Pradesh, 8887261657, 154.64 cm, 76.85 kg
77, Male, Manipur, 8822723583, 154.92 cm, 73.89 kg
59, Male, Madhya Pradesh, 8544614625, 159.79 cm, 69.58 kg
71, Male, Karnataka, 9887573854, 151.61 cm, 77.66 kg
33, Male, Jharkhand, 9381415221, 167.08 cm, 81.35 kg
89, Male, Nagaland, 7235242725, 155.46 cm, 75.05 kg
64, Female, Gujarat, 6272721313, 165.4 cm, 71.18 kg
80, Female, Uttar Pradesh, 6268344274, 156.85 cm, 70.46 kg
89, Male, Assam, 8388338125, 166.25 cm, 67.87 kg
7, Male, Maharashtra, 8184273151, 151.66 cm, 80.61 kg
38, Female, Tamil Nadu, 7518651183, 163.68 cm, 73.53 kg
76, Male, Kerala, 6282435241, 157.95 cm, 67.48 kg
35, Female, Himachal Pradesh, 9725448361, 157.03 cm, 69.06 kg
78, Male, Punjab, 6676658315, 156.04 cm, 65.87 kg
35, Male, Punjab, 6274732141, 162.84 cm, 65.03 kg
91, Female, Goa, 9276346626, 172.24 cm, 70.58 kg
94, Male, Haryana, 8263261745, 156.13 cm, 68.05 kg
25, Female, Karnataka, 8136133181, 173.3 cm, 77.25 kg
4, Male, Madhya Pradesh, 6431483132, 174.32 cm, 67.53 kg
33, Female, Madhya Pradesh, 9745117443, 161.79 cm, 76.06 kg
64, Male, Odisha, 6436783371, 152.6 cm, 70.76 kg
16, Male, Karnataka, 9613838162, 156.1 cm, 82.5 kg
6, Female, Assam, 9212463351, 183.3 cm, 67.9 kg
64, Male, Manipur, 6723124545, 139.4 cm, 70.14 kg
69, Male, Kerala, 7883476453, 166.56 cm, 69.62 kg
31, Female, Maharashtra, 6181682875, 148.17 cm, 66.05 kg
44, Female, Goa, 7424131626, 141.49 cm, 70.16 kg
27, Male, Tamil Nadu, 8412427254, 135.67 cm, 73.25 kg
72, Male, Himachal Pradesh, 9722223857, 147.25 cm, 64.27 kg
56, Male, Kerala, 9358813242, 153.99 cm, 85.37 kg
25, Male, Rajasthan, 7564825485, 167.99 cm, 61.21 kg
24, Female, Maharashtra, 6345785343, 172.53 cm, 56.41 kg
59, Female, Madhya Pradesh, 7422758815, 164.57 cm, 72.01 kg
8, Male, Kerala, 9441712754, 150.75 cm, 74.31 kg
5, Male, Chhattisgarh, 9156587388, 156.61 cm, 71.93 kg
47, Female, Odisha, 6717267527, 180.04 cm, 70.95 kg
10, Female, Sikkim, 7265316648, 157.54 cm, 67.71 kg
26, Female, Arunachal Pradesh, 7476624855, 154.01 cm, 65.35 kg
72, Female, Assam, 9475572138, 157.18 cm, 64.82 kg
42, Female, Mizoram, 6322663321, 164.56 cm, 78.8 kg
64, Female, Uttar Pradesh, 8552337456, 141.1 cm, 62.86 kg
99, Male, Maharashtra, 7636774535, 173.51 cm, 68.55 kg
8, Male, Himachal Pradesh, 9817748618, 145.27 cm, 73.31 kg
99, Male, Uttarakhand, 8254667858, 167.17 cm, 62.78 kg
14, Male, West Bengal, 8881875564, 167.2 cm, 74.56 kg
39, Female, Mizoram, 9768866143, 155.5 cm, 70.11 kg
47, Male, Uttar Pradesh, 9368348181, 156.06 cm, 69.27 kg
54, Male, Uttar Pradesh, 9654118155, 168.42 cm, 76.05 kg
73, Female, Chhattisgarh, 9388264486, 155.83 cm, 79.65 kg
35, Male, Gujarat, 9482453525, 169.83 cm, 75.9 kg
32, Male, Meghalaya, 8753578474, 163.84 cm, 66.38 kg
76, Male, Goa, 6381233565, 176.86 cm, 68.61 kg
63, Male, Nagaland, 6712673175, 154.38 cm, 70.42 kg
50, Male, Rajasthan, 6257111713, 171.29 cm, 69.12 kg
9, Male, Kerala, 8567837288, 158.18 cm, 69.71 kg
35, Female, Kerala, 7287546275, 168.23 cm, 65.17 kg
78, Male, Karnataka, 9681611748, 161.24 cm, 63.64 kg
16, Female, Mizoram, 8537235173, 162.29 cm, 71.66 kg
54, Male, Sikkim, 9524138477, 165.12 cm, 80.57 kg
61, Male, Bihar, 6181687511, 166.19 cm, 78.94 kg
5, Male, Odisha, 8266638556, 162.85 cm, 77.67 kg
76, Female, Rajasthan, 9558158616, 147.37 cm, 71.21 kg
99, Male, Assam, 7555174824, 181.57 cm, 71.3 kg
66, Female, Tripura, 7334372647, 162.1 cm, 53.52 kg
2, Male, Haryana, 6214583272, 149.76 cm, 68.11 kg
82, Female, West Bengal, 8233358641, 162.46 cm, 69.86 kg
16, Male, Maharashtra, 6325532436, 158.4 cm, 65.29 kg
36, Male, Tripura, 9268415832, 162.86 cm, 75.21 kg
94, Male, Goa, 6733565842, 169.23 cm, 66.32 kg
96, Female, Mizoram, 8878274723, 167.34 cm, 73.4 kg
78, Female, West Bengal, 8524825263, 170.83 cm, 68.6 kg
31, Male, Uttar Pradesh, 6572184351, 147.87 cm, 63.08 kg
9, Male, Sikkim, 8611812534, 165.97 cm, 63.7 kg
46, Male, Chhattisgarh, 9752776732, 141.22 cm, 67.24 kg
50, Male, Uttarakhand, 7184471236, 148.44 cm, 67.45 kg
56, Female, Andhra Pradesh, 9271283184, 168.97 cm, 70.52 kg
28, Male, Chhattisgarh, 6264564481, 169.34 cm, 71.3 kg
72, Female, Himachal Pradesh, 6288857376, 166.26 cm, 71.7 kg
31, Female, Andhra Pradesh, 6164322846, 184.66 cm, 60.03 kg
44, Female, Nagaland, 6663873261, 143.73 cm, 77.16 kg
96, Male, Nagaland, 7825672281, 165.84 cm, 68.27 kg
68, Female, Karnataka, 6461178771, 153.86 cm, 72.2 kg
88, Female, Manipur, 9215311726, 159.77 cm, 73.7 kg
5, Male, Goa, 8825878654, 162.69 cm, 75.7 kg
75, Female, Nagaland, 7845137252, 158.36 cm, 76.82 kg
75, Male, Arunachal Pradesh, 8615268587, 153.93 cm, 71.09 kg
20, Female, Haryana, 6488755157, 153.98 cm, 76.29 kg
49, Male, Uttar Pradesh, 7351867666, 166.13 cm, 75.36 kg
39, Male, Karnataka, 8343127646, 159.29 cm, 74.46 kg
95, Male, Himachal Pradesh, 7741178666, 158.59 cm, 69.53 kg
3, Female, Assam, 7465624171, 156.7 cm, 71.88 kg
2, Female, Andhra Pradesh, 8533447524, 141.74 cm, 77.13 kg
17, Male, Jharkhand, 7477388664, 153.76 cm, 73.97 kg
9, Female, Karnataka, 7312651822, 171.85 cm, 70.5 kg
25, Male, Manipur, 9418328854, 143.75 cm, 68.39 kg
46, Male, Jharkhand, 8477241763, 159.23 cm, 69.66 kg
74, Male, Arunachal Pradesh, 8464676517, 170.89 cm, 71.03 kg
26, Female, Madhya Pradesh, 8617255728, 163.56 cm, 58.27 kg
78, Female, Arunachal Pradesh, 8172784561, 171.66 cm, 70.84 kg
19, Female, Himachal Pradesh, 8566174464, 174.08 cm, 67.24 kg
51, Male, Karnataka, 7525714323, 163.12 cm, 69.33 kg
90, Male, Odisha, 8323355245, 155.56 cm, 71.45 kg
41, Male, Rajasthan, 9141281847, 148.26 cm, 68.8 kg
44, Male, Tamil Nadu, 8543516662, 154.55 cm, 70.24 kg
42, Male, Himachal Pradesh, 6656643761, 159.33 cm, 70.03 kg
75, Male, Bihar, 7443627682, 158.9 cm, 63.93 kg
6, Female, Kerala, 8547814254, 175.28 cm, 66.37 kg
59, Female, Tamil Nadu, 8573827168, 181.09 cm, 71.92 kg
52, Female, Telangana, 7836237766, 151.01 cm, 76.44 kg
18, Female, Goa, 6352166134, 166.01 cm, 71.71 kg
39, Female, Assam, 7624766841, 154.45 cm, 75.48 kg
49, Female, Punjab, 7856427242, 157.34 cm, 67.18 kg
36, Male, Meghalaya, 6326122154, 154.83 cm, 70.61 kg
18, Male, Nagaland, 8332256812, 159.81 cm, 80.14 kg
47, Female, Nagaland, 8211387651, 171.24 cm, 64.69 kg
3, Male, Assam, 7161861337, 154.26 cm, 80.37 kg
36, Male, Karnataka, 7477428333, 170.23 cm, 71.81 kg
62, Male, Haryana, 8818115588, 150.52 cm, 61.48 kg
37, Female, Bihar, 9414775245, 162.93 cm, 74.42 kg
47, Male, Tamil Nadu, 7644112217, 173.02 cm, 65.87 kg
34, Male, Madhya Pradesh, 9575718182, 135.51 cm, 77.99 kg
64, Female, Jharkhand, 6553165474, 175.54 cm, 71.94 kg
